Date,difficulty30ema
2012/04/14,1570026
2012/04/15,1570535
2012/04/16,1571011
2012/04/17,1571456
2012/04/18,1571873
2012/04/19,1572263
2012/04/20,1572627
2012/04/21,1572968
2012/04/22,1573287
2012/04/23,1573586
2012/04/24,1573865
2012/04/25,1574126
2012/04/26,1574371
2012/04/27,1571386
2012/04/28,1567334
2012/04/29,1563544
2012/04/30,1559999
2012/05/01,1556682
2012/05/02,1553579
2012/05/03,1550677
2012/05/04,1547961
2012/05/05,1545421
2012/05/06,1543045
2012/05/07,1540822
2012/05/08,1538743
2012/05/09,1543083
2012/05/10,1555349
2012/05/11,1566824
2012/05/12,1577558
2012/05/13,1587600
2012/05/14,1596994
2012/05/15,1605782
2012/05/16,1614003
2012/05/17,1621694
2012/05/18,1628888
2012/05/19,1635618
2012/05/20,1641914
2012/05/21,1647804
2012/05/22,1653314
2012/05/23,1658469
2012/05/24,1661090
2012/05/25,1656573
2012/05/26,1652347
2012/05/27,1648394
2012/05/28,1644696
2012/05/29,1641237
2012/05/30,1638000
2012/05/31,1634973
2012/06/01,1632141
2012/06/02,1629491
2012/06/03,1627013
2012/06/04,1624694
2012/06/05,1622525
2012/06/06,1620496
2012/06/07,1618481
2012/06/08,1616203
2012/06/09,1614073
2012/06/10,1612079
2012/06/11,1610215
2012/06/12,1608470
2012/06/13,1606839
2012/06/14,1605312
2012/06/15,1603884
2012/06/16,1602548
2012/06/17,1601299
2012/06/18,1600129
2012/06/19,1599036
2012/06/20,1600692
2012/06/21,1608813
2012/06/22,1616410
2012/06/23,1623517
2012/06/24,1630165
2012/06/25,1636385
2012/06/26,1642203
2012/06/27,1647646
2012/06/28,1652737
2012/06/29,1657501
2012/06/30,1661957
2012/07/01,1666125
2012/07/02,1670024
2012/07/03,1673672
2012/07/04,1677941
2012/07/05,1682684
2012/07/06,1687121
2012/07/07,1691271
2012/07/08,1695154
2012/07/09,1698786
2012/07/10,1702184
2012/07/11,1705363
2012/07/12,1708337
2012/07/13,1711118
2012/07/14,1713721
2012/07/15,1716155
2012/07/16,1718433
2012/07/17,1723365
2012/07/18,1732593
2012/07/19,1741225
2012/07/20,1749300
2012/07/21,1756855
2012/07/22,1763921
2012/07/23,1770532
2012/07/24,1776717
2012/07/25,1782502
2012/07/26,1787914
2012/07/27,1792977
2012/07/28,1797714
2012/07/29,1802145
2012/07/30,1811720
2012/07/31,1826233
2012/08/01,1839810
2012/08/02,1852510
2012/08/03,1864392
2012/08/04,1875507
2012/08/05,1885904
2012/08/06,1895631
2012/08/07,1904731
2012/08/08,1913243
2012/08/09,1921206
2012/08/10,1928655
2012/08/11,1935624
2012/08/12,1947149
2012/08/13,1962872
2012/08/14,1977582
2012/08/15,1991342
2012/08/16,2004214
2012/08/17,2016256
2012/08/18,2027521
2012/08/19,2038060
2012/08/20,2047918
2012/08/21,2057141
2012/08/22,2065768
2012/08/23,2073839
2012/08/24,2081389
2012/08/25,2103282
2012/08/26,2125047
