Date,difficulty30wma
2012/08/14,2019125
2012/08/15,2033955
2012/08/16,2047841
2012/08/17,2060876
2012/08/18,2073212
2012/08/19,2084851
2012/08/20,2095792
2012/08/21,2106035
2012/08/22,2115580
2012/08/23,2124428
2012/08/24,2132577
2012/08/25,2154859
2012/08/26,2177234
2012/08/27,2198373
2012/08/28,2218278
2012/08/29,2236948
2012/08/30,2254563
2012/08/31,2271310
2012/09/01,2287188
2012/09/02,2302198
2012/09/03,2316338
2012/09/04,2329610
2012/09/05,2342013
2012/09/06,2356798
2012/09/07,2383704
2012/09/08,2409196
2012/09/09,2433275
2012/09/10,2455940
2012/09/11,2477191
2012/09/12,2497195
2012/09/13,2516117
2012/09/14,2533957
2012/09/15,2550715
2012/09/16,2566391
2012/09/17,2580985
2012/09/18,2594496
2012/09/19,2607938
2012/09/20,2630225
2012/09/21,2651064
2012/09/22,2670456
2012/09/23,2688400
2012/09/24,2704895
2012/09/25,2720437
2012/09/26,2735069
2012/09/27,2748790
2012/09/28,2761600
2012/09/29,2773499
2012/09/30,2784487
2012/10/01,2794565
2012/10/02,2803732
2012/10/03,2823169
2012/10/04,2842431
2012/10/05,2860373
2012/10/06,2876994
2012/10/07,2892404
2012/10/08,2907037
2012/10/09,2920896
2012/10/10,2933979
2012/10/11,2946287
2012/10/12,2957819
2012/10/13,2968576
2012/10/14,2978557
2012/10/15,2987763
2012/10/16,2996245
2012/10/17,3005040
2012/10/18,3013021
2012/10/19,3020189
2012/10/20,3026577
2012/10/21,3032517
2012/10/22,3038010
2012/10/23,3043055
2012/10/24,3047652
2012/10/25,3051802
2012/10/26,3055504
2012/10/27,3058758
2012/10/28,3061564
2012/10/29,3063923
2012/10/30,3080804
2012/10/31,3096739
2012/11/01,3111726
2012/11/02,3125767
2012/11/03,3139234
2012/11/04,3152164
2012/11/05,3164557
2012/11/06,3176413
2012/11/07,3187731
2012/11/08,3198513
2012/11/09,3208758
2012/11/10,3218465
2012/11/11,3227636
2012/11/12,3237371
2012/11/13,3249586
2012/11/14,3261126
2012/11/15,3271990
2012/11/16,3282180
2012/11/17,3291733
2012/11/18,3300648
2012/11/19,3308926
2012/11/20,3316566
2012/11/21,3323569
2012/11/22,3329934
2012/11/23,3335662
2012/11/24,3340752
2012/11/25,3345204
2012/11/26,3351181
2012/11/27,3358812
2012/11/28,3365654
2012/11/29,3371708
2012/11/30,3377473
2012/12/01,3382948
2012/12/02,3388134
2012/12/03,3393031
2012/12/04,3397638
2012/12/05,3401956
2012/12/06,3405985
2012/12/07,3409724
2012/12/08,3413174
2012/12/09,3416334
2012/12/10,3418151
2012/12/11,3416334
2012/12/12,3414375
2012/12/13,3412312
2012/12/14,3410245
2012/12/15,3408175
2012/12/16,3406103
2012/12/17,3404027
2012/12/18,3401948
2012/12/19,3399867
2012/12/20,3397782
2012/12/21,3395694
2012/12/22,3393603
2012/12/23,3391509
2012/12/24,3389412
2012/12/25,3387312
2012/12/26,3373101
2012/12/27,3346275
2012/12/28,3320435
2012/12/29,3295584
2012/12/30,3271720
2012/12/31,3248844
2013/01/01,3226955
2013/01/02,3206054
2013/01/03,3186141
2013/01/04,3167216
2013/01/05,3149278
2013/01/06,3132328
2013/01/07,3116365
2013/01/08,3110294
2013/01/09,3113424
2013/01/10,3116926
2013/01/11,3120687
2013/01/12,3124708
2013/01/13,3128988
2013/01/14,3133528
2013/01/15,3138327
2013/01/16,3143385
2013/01/17,3148703
2013/01/18,3154281
2013/01/19,3160117
2013/01/20,3166214
2013/01/21,3172569
2013/01/22,3179184
2013/01/23,3182033
2013/01/24,3171187
2013/01/25,3161204
2013/01/26,3151680
2013/01/27,3142180
2013/01/28,3132703
2013/01/29,3123250
2013/01/30,3113820
2013/01/31,3104413
2013/02/01,3095030
2013/02/02,3085670
2013/02/03,3076333
2013/02/04,3067020
2013/02/05,3067209
2013/02/06,3077413
2013/02/07,3086980
2013/02/08,3096209
2013/02/09,3105381
2013/02/10,3114498
2013/02/11,3123559
2013/02/12,3132565
2013/02/13,3141514
2013/02/14,3150408
2013/02/15,3159246
2013/02/16,3168029
2013/02/17,3176756
2013/02/18,3208903
2013/02/19,3240964
2013/02/20,3272163
2013/02/21,3302498
2013/02/22,3331969
2013/02/23,3360443
2013/02/24,3387450
2013/02/25,3412989
2013/02/26,3437062
2013/02/27,3459667
2013/02/28,3480805
2013/03/01,3512951
2013/03/02,3576988
2013/03/03,3638017
2013/03/04,3696036
2013/03/05,3751047
2013/03/06,3803049
2013/03/07,3852042
2013/03/08,3898342
2013/03/09,3942293
2013/03/10,3983895
2013/03/11,4023147
2013/03/12,4060050
2013/03/13,4094604
2013/03/14,4146003
2013/03/15,4206172
2013/03/16,4262959
2013/03/17,4316366
2013/03/18,4366391
2013/03/19,4413035
2013/03/20,4456299
2013/03/21,4496963
2013/03/22,4535055
2013/03/23,4570573
2013/03/24,4650834
2013/03/25,4798865
2013/03/26,4940348
2013/03/27,5075284
2013/03/28,5203671
2013/03/29,5325511
2013/03/30,5440802
2013/03/31,5549545
2013/04/01,5652157
2013/04/02,5749761
2013/04/03,5842360
2013/04/04,5929952
2013/04/05,6032489
2013/04/06,6172446
2013/04/07,6305297
2013/04/08,6431039
2013/04/09,6549674
2013/04/10,6661200
2013/04/11,6765619
2013/04/12,6862931
2013/04/13,6953134
2013/04/14,7036869
2013/04/15,7114529
2013/04/16,7186112
2013/04/17,7275186
2013/04/18,7417786
2013/04/19,7551512
2013/04/20,7676363
2013/04/21,7792340
