Date,sentinusd3rocUSD
2013/07/04,-6.966
2013/07/05,18.251
2013/07/06,-30.777
2013/07/07,-33.104
2013/07/08,-13.208
2013/07/09,81.212
2013/07/10,80.484
2013/07/11,38.978
2013/07/12,4.583
2013/07/13,-5.841
2013/07/14,-42.753
2013/07/15,-29.58
2013/07/16,8.668
2013/07/17,86.481
2013/07/18,37.439
2013/07/19,-19.185
2013/07/20,-55.728
2013/07/21,-51.529
2013/07/22,10.222
2013/07/23,100.844
2013/07/24,84.838
2013/07/25,-6.253
2013/07/26,-16.533
2013/07/27,-47.012
2013/07/28,-23.358
2013/07/29,0.239
2013/07/30,133.9
2013/07/31,49.982
2013/08/01,62.891
2013/08/02,-9.508
2013/08/03,-22.554
2013/08/04,-57.434
2013/08/05,-6.974
2013/08/06,15.831
2013/08/07,61.335
2013/08/08,-14.628
2013/08/09,-20.636
2013/08/10,-38.376
2013/08/11,-42.388
2013/08/12,35.785
2013/08/13,162.801
2013/08/14,232.662
2013/08/15,-1.314
2013/08/16,-15.58
2013/08/17,-28.102
2013/08/18,-0.543
2013/08/19,0.931
2013/08/20,3.217
2013/08/21,76.137
2013/08/22,-17.598
2013/08/23,-9.118
2013/08/24,-56.822
2013/08/25,-33.743
2013/08/26,-15.284
2013/08/27,69.407
2013/08/28,47.953
2013/08/29,6.36
2013/08/30,-1.192
2013/08/31,-4.863
2013/09/01,-9.632
2013/09/02,-16.141
2013/09/03,30.648
2013/09/04,41.084
2013/09/05,7.724
2013/09/06,-25.985
2013/09/07,-29.105
2013/09/08,-49.609
2013/09/09,-14.445
2013/09/10,-2.869
2013/09/11,73.301
2013/09/12,19.12
2013/09/13,10.916
2013/09/14,-17.594
2013/09/15,-41.239
2013/09/16,4.997
2013/09/17,18.67
2013/09/18,90.037
2013/09/19,24.547
2013/09/20,15.037
2013/09/21,-39.954
2013/09/22,-43.21
2013/09/23,35.679
2013/09/24,105.569
2013/09/25,63.759
2013/09/26,-26.053
2013/09/27,-25.577
2013/09/28,-30.8
2013/09/29,-25.827
2013/09/30,21.25
2013/10/01,106.074
2013/10/02,100.791
2013/10/03,-4.507
2013/10/04,-32.571
2013/10/05,-61.322
2013/10/06,-49.018
2013/10/07,-8.303
2013/10/08,62.492
2013/10/09,111.061
2013/10/10,3.625
2013/10/11,13.277
2013/10/12,-22.425
2013/10/13,-3.12
2013/10/14,21.339
2013/10/15,47.331
2013/10/16,63.87
2013/10/17,1.398
2013/10/18,12.318
2013/10/19,12.341
2013/10/20,-1.621
2013/10/21,28.888
2013/10/22,35.6
2013/10/23,82.331
2013/10/24,9.583
2013/10/25,136.604
2013/10/26,-43.955
2013/10/27,-54.34
2013/10/28,-76.74
2013/10/29,190.749
2013/10/30,57.949
2013/10/31,7.228
2013/11/01,-66.498
2013/11/02,-25.14
2013/11/03,-17.414
2013/11/04,70.514
2013/11/05,126.208
2013/11/06,104.944
2013/11/07,59.451
2013/11/08,28.969
2013/11/09,33.297
2013/11/10,-32.011
2013/11/11,-33.6
