Date,activeaddresses90var
2012/03/29,2234324
2012/03/30,2048514
2012/03/31,1917505
2012/04/01,1866915
2012/04/02,1826576
2012/04/03,1903024
2012/04/04,1928992
2012/04/05,1945523
2012/04/06,1926152
2012/04/07,1932481
2012/04/08,1948722
2012/04/09,1939373
2012/04/10,1959006
2012/04/11,2057913
2012/04/12,2194409
2012/04/13,2191539
2012/04/14,2204082
2012/04/15,2210849
2012/04/16,2353013
2012/04/17,2456835
2012/04/18,2625162
2012/04/19,2663667
2012/04/20,2777261
2012/04/21,2585447
2012/04/22,2529609
2012/04/23,2536198
2012/04/24,2557307
2012/04/25,2573523
2012/04/26,2684323
2012/04/27,2622492
2012/04/28,2599701
2012/04/29,2538788
2012/04/30,2652914
2012/05/01,2829178
2012/05/02,3026432
2012/05/03,3400320
2012/05/04,3880247
2012/05/05,4026173
2012/05/06,4359590
2012/05/07,5291989
2012/05/08,5850048
2012/05/09,6585370
2012/05/10,6743038
2012/05/11,7705038
2012/05/12,8016134
2012/05/13,8171988
2012/05/14,10788376
2012/05/15,11901282
2012/05/16,12646559
2012/05/17,12847749
2012/05/18,13601690
2012/05/19,15575052
2012/05/20,16978217
2012/05/21,18573325
2012/05/22,19523197
2012/05/23,20960034
2012/05/24,21970350
2012/05/25,23343375
2012/05/26,23571680
2012/05/27,24031389
2012/05/28,25221430
2012/05/29,27628499
2012/05/30,28474939
2012/05/31,29340707
2012/06/01,29805565
2012/06/02,29567308
2012/06/03,30668998
2012/06/04,35587090
2012/06/05,40043450
2012/06/06,39938367
2012/06/07,42089801
2012/06/08,41998999
2012/06/09,42443780
2012/06/10,43677644
2012/06/11,44825673
2012/06/12,44544612
2012/06/13,50969970
2012/06/14,58984832
2012/06/15,66369629
2012/06/16,68505678
2012/06/17,70795126
2012/06/18,72440961
2012/06/19,73422946
2012/06/20,73495025
2012/06/21,72812737
2012/06/22,71944446
2012/06/23,71233699
2012/06/24,70573811
2012/06/25,70614751
2012/06/26,71167929
2012/06/27,72624870
2012/06/28,72061015
2012/06/29,71239251
2012/06/30,69796103
2012/07/01,68811947
2012/07/02,69433245
2012/07/03,69180850
2012/07/04,68336764
2012/07/05,67169455
2012/07/06,65496697
2012/07/07,63776381
2012/07/08,62200889
2012/07/09,61392362
2012/07/10,61498982
2012/07/11,61282674
2012/07/12,60105533
2012/07/13,58955478
2012/07/14,57395325
2012/07/15,56492700
2012/07/16,56152752
2012/07/17,56658393
2012/07/18,55593705
2012/07/19,55105264
2012/07/20,53735775
2012/07/21,51686972
2012/07/22,50725110
2012/07/23,50522132
2012/07/24,49416838
2012/07/25,48004719
2012/07/26,45999555
2012/07/27,43578980
2012/07/28,41712170
2012/07/29,40324428
2012/07/30,39134501
2012/07/31,45787038
2012/08/01,45470394
2012/08/02,45532080
2012/08/03,43981624
2012/08/04,42891553
2012/08/05,42614563
2012/08/06,42667353
2012/08/07,42308776
2012/08/08,44279314
2012/08/09,44161504
2012/08/10,43061909
2012/08/11,41319293
2012/08/12,41558445
2012/08/13,43272529
2012/08/14,43162764
2012/08/15,44241956
2012/08/16,51223349
2012/08/17,56115109
2012/08/18,58507945
2012/08/19,63611004
2012/08/20,64153791
2012/08/21,67193483
2012/08/22,68172363
2012/08/23,68170145
2012/08/24,67403500
2012/08/25,66066631
2012/08/26,65473833
2012/08/27,65374957
2012/08/28,64547178
2012/08/29,63635988
2012/08/30,62947488
2012/08/31,61077731
2012/09/01,60926999
2012/09/02,60918961
2012/09/03,61119832
2012/09/04,59616968
2012/09/05,59633001
2012/09/06,59249174
2012/09/07,59015689
2012/09/08,59030460
2012/09/09,58631360
2012/09/10,56024324
2012/09/11,55791021
2012/09/12,54738546
2012/09/13,53685076
2012/09/14,53680388
2012/09/15,54481819
2012/09/16,55002172
2012/09/17,55229885
2012/09/18,54806910
2012/09/19,54145821
2012/09/20,53954398
2012/09/21,53129774
2012/09/22,53420515
2012/09/23,54319619
2012/09/24,54554158
2012/09/25,54770475
2012/09/26,55301665
2012/09/27,55003193
2012/09/28,55699479
2012/09/29,55053081
2012/09/30,55214302
2012/10/01,54989892
2012/10/02,56352540
2012/10/03,55963577
2012/10/04,56227670
2012/10/05,55469015
2012/10/06,53763250
2012/10/07,53104116
2012/10/08,53506646
2012/10/09,54647428
2012/10/10,54602324
2012/10/11,53554261
2012/10/12,52260491
2012/10/13,50965937
2012/10/14,50818769
2012/10/15,51063240
2012/10/16,50506206
2012/10/17,50305297
2012/10/18,50911818
2012/10/19,50589629
2012/10/20,50506020
2012/10/21,50617863
2012/10/22,50479711
2012/10/23,49261147
2012/10/24,47837991
2012/10/25,46813466
2012/10/26,46887887
2012/10/27,48189391
2012/10/28,50137315
2012/10/29,47454372
2012/10/30,48045962
2012/10/31,49063504
2012/11/01,49847166
2012/11/02,50280834
2012/11/03,50998643
2012/11/04,52293457
2012/11/05,52400901
2012/11/06,51150400
2012/11/07,51194596
2012/11/08,51260776
2012/11/09,51400061
2012/11/10,51821315
2012/11/11,52546233
