Date,mediantransactionvalue90emaUSD
2012/02/23,68.559
2012/02/24,68.643
2012/02/25,68.9
2012/02/26,69.03
2012/02/27,69.013
2012/02/28,69.175
2012/02/29,69.212
2012/03/01,69.362
2012/03/02,69.411
2012/03/03,69.401
2012/03/04,69.371
2012/03/05,69.221
2012/03/06,69.152
2012/03/07,69.241
2012/03/08,69.326
2012/03/09,69.46
2012/03/10,69.424
2012/03/11,69.292
2012/03/12,69.571
2012/03/13,69.587
2012/03/14,69.988
2012/03/15,70.07
2012/03/16,70.345
2012/03/17,69.986
2012/03/18,69.827
2012/03/19,69.804
2012/03/20,69.854
2012/03/21,70.035
2012/03/22,70.188
2012/03/23,70.053
2012/03/24,70.16
2012/03/25,69.95
2012/03/26,69.769
2012/03/27,69.644
2012/03/28,69.622
2012/03/29,69.747
2012/03/30,70.265
2012/03/31,70.569
2012/04/01,70.657
2012/04/02,70.473
2012/04/03,70.455
2012/04/04,70.441
2012/04/05,70.406
2012/04/06,70.558
2012/04/07,70.377
2012/04/08,70.111
2012/04/09,70.105
2012/04/10,69.424
2012/04/11,69.287
2012/04/12,69.428
2012/04/13,69.883
2012/04/14,69.659
2012/04/15,69.198
2012/04/16,69.274
2012/04/17,69.806
2012/04/18,69.869
2012/04/19,70.058
2012/04/20,70.871
2012/04/21,70.96
2012/04/22,70.686
2012/04/23,70.448
2012/04/24,70.575
2012/04/25,70.067
2012/04/26,69.353
2012/04/27,69.279
2012/04/28,68.865
2012/04/29,68.033
2012/04/30,67.265
2012/05/01,66.323
2012/05/02,65.59
2012/05/03,64.476
2012/05/04,63.287
2012/05/05,62.132
2012/05/06,61.098
2012/05/07,59.979
2012/05/08,58.88
2012/05/09,57.856
2012/05/10,56.911
2012/05/11,55.792
2012/05/12,54.701
2012/05/13,53.67
2012/05/14,52.638
2012/05/15,51.642
2012/05/16,50.67
2012/05/17,49.682
2012/05/18,48.66
2012/05/19,47.649
2012/05/20,46.696
2012/05/21,45.737
2012/05/22,44.854
2012/05/23,43.979
2012/05/24,43.116
2012/05/25,42.281
2012/05/26,41.444
2012/05/27,40.646
2012/05/28,39.843
2012/05/29,39.127
2012/05/30,38.403
2012/05/31,37.787
2012/06/01,37.075
2012/06/02,36.589
2012/06/03,35.877
2012/06/04,35.136
2012/06/05,34.435
2012/06/06,34.093
2012/06/07,33.481
2012/06/08,32.867
2012/06/09,32.231
2012/06/10,31.58
2012/06/11,30.952
2012/06/12,30.397
2012/06/13,29.793
2012/06/14,29.164
2012/06/15,28.577
2012/06/16,28.035
2012/06/17,27.485
2012/06/18,26.96
2012/06/19,26.476
2012/06/20,25.992
2012/06/21,25.528
2012/06/22,25.094
2012/06/23,24.676
2012/06/24,24.25
2012/06/25,23.82
2012/06/26,23.408
2012/06/27,23.057
2012/06/28,22.714
2012/06/29,22.377
2012/06/30,22.033
2012/07/01,21.695
2012/07/02,21.406
2012/07/03,21.359
2012/07/04,21.243
2012/07/05,20.965
2012/07/06,20.709
2012/07/07,20.457
2012/07/08,20.185
2012/07/09,20.078
2012/07/10,19.832
2012/07/11,19.566
2012/07/12,19.466
2012/07/13,19.371
2012/07/14,19.47
2012/07/15,19.331
2012/07/16,19.261
2012/07/17,19.083
2012/07/18,18.873
2012/07/19,18.687
2012/07/20,18.467
2012/07/21,18.254
2012/07/22,18.034
2012/07/23,17.964
2012/07/24,17.823
2012/07/25,17.817
2012/07/26,17.701
2012/07/27,17.94
2012/07/28,17.872
2012/07/29,17.851
2012/07/30,17.892
2012/07/31,18.057
2012/08/01,18.158
2012/08/02,18.203
2012/08/03,19.229
2012/08/04,19.721
2012/08/05,19.992
2012/08/06,20.057
2012/08/07,20.644
2012/08/08,20.582
2012/08/09,20.6
2012/08/10,20.783
2012/08/11,20.709
2012/08/12,20.545
2012/08/13,20.288
2012/08/14,20.267
2012/08/15,20.101
2012/08/16,20.63
2012/08/17,21.278
2012/08/18,21.698
2012/08/19,21.793
2012/08/20,22.109
2012/08/21,22.562
2012/08/22,23.117
2012/08/23,24.091
2012/08/24,24.526
2012/08/25,24.563
2012/08/26,24.728
2012/08/27,24.765
2012/08/28,24.607
2012/08/29,24.542
2012/08/30,24.287
2012/08/31,24.1
2012/09/01,23.826
2012/09/02,23.746
2012/09/03,23.452
2012/09/04,23.22
2012/09/05,23.003
2012/09/06,22.789
2012/09/07,22.824
2012/09/08,23.278
2012/09/09,23.728
2012/09/10,23.471
2012/09/11,23.153
2012/09/12,22.894
2012/09/13,22.609
2012/09/14,22.363
2012/09/15,22.107
