Date,sentbyaddress
2014/01/17,77810
2014/01/18,67236
2014/01/19,68920
2014/01/20,96260
2014/01/21,103154
2014/01/22,95373
2014/01/23,87498
2014/01/24,89053
2014/01/25,75544
2014/01/26,78989
2014/01/27,93944
2014/01/28,99054
2014/01/29,87697
2014/01/30,94612
2014/01/31,96340
2014/02/01,88674
2014/02/02,84768
2014/02/03,97075
2014/02/04,110741
2014/02/05,100342
2014/02/06,106702
2014/02/07,110358
2014/02/08,95698
2014/02/09,79440
2014/02/10,95898
2014/02/11,96108
2014/02/12,90132
2014/02/13,97361
2014/02/14,107024
2014/02/15,97135
2014/02/16,77168
2014/02/17,90132
2014/02/18,98244
2014/02/19,119701
2014/02/20,124244
2014/02/21,124384
2014/02/22,102668
2014/02/23,112881
2014/02/24,136431
2014/02/25,147032
2014/02/26,134012
2014/02/27,117404
2014/02/28,113307
2014/03/01,119982
2014/03/02,101092
2014/03/03,147448
2014/03/04,156742
2014/03/05,136304
2014/03/06,130466
2014/03/07,124215
2014/03/08,118826
2014/03/09,112946
2014/03/10,114662
2014/03/11,118959
2014/03/12,130822
2014/03/13,125349
2014/03/14,104063
2014/03/15,87097
2014/03/16,83974
2014/03/17,107329
2014/03/18,85009
2014/03/19,98363
2014/03/20,99766
2014/03/21,122140
2014/03/22,98840
2014/03/23,88224
2014/03/24,109389
2014/03/25,110138
2014/03/26,112316
2014/03/27,128074
2014/03/28,120349
2014/03/29,90752
2014/03/30,84194
2014/03/31,114652
2014/04/01,119098
2014/04/02,120095
2014/04/03,90280
2014/04/04,121316
2014/04/05,101665
2014/04/06,102363
2014/04/07,107046
2014/04/08,112226
2014/04/09,122401
2014/04/10,124298
2014/04/11,117926
2014/04/12,87828
2014/04/13,94828
2014/04/14,127969
2014/04/15,123107
2014/04/16,114312
2014/04/17,102596
2014/04/18,100633
2014/04/19,93159
2014/04/20,88713
2014/04/21,93895
2014/04/22,125522
2014/04/23,103825
2014/04/24,103639
2014/04/25,116925
2014/04/26,87285
2014/04/27,85171
2014/04/28,111451
2014/04/29,110736
2014/04/30,109507
2014/05/01,101423
2014/05/02,92605
2014/05/03,70902
2014/05/04,73760
2014/05/05,96210
2014/05/06,110414
2014/05/07,109160
2014/05/08,111716
2014/05/09,105816
2014/05/10,88498
2014/05/11,81152
2014/05/12,98608
2014/05/13,95943
2014/05/14,106493
2014/05/15,119331
2014/05/16,93719
2014/05/17,84987
2014/05/18,90629
2014/05/19,107520
2014/05/20,127179
2014/05/21,101327
2014/05/22,108351
2014/05/23,120105
2014/05/24,77546
2014/05/25,104604
2014/05/26,112414
2014/05/27,119964
2014/05/28,128153
