Date,top100cap30ema
2012/07/27,24.877
2012/07/28,24.868
2012/07/29,24.864
2012/07/30,24.859
2012/07/31,24.85
2012/08/01,24.846
2012/08/02,24.834
2012/08/03,24.822
2012/08/04,24.811
2012/08/05,24.799
2012/08/06,24.789
2012/08/07,24.781
2012/08/08,24.768
2012/08/09,24.748
2012/08/10,24.73
2012/08/11,24.708
2012/08/12,24.686
2012/08/13,24.657
2012/08/14,24.635
2012/08/15,24.616
2012/08/16,24.601
2012/08/17,24.582
2012/08/18,24.563
2012/08/19,24.514
2012/08/20,24.442
2012/08/21,24.362
2012/08/22,24.271
2012/08/23,24.182
2012/08/24,24.085
2012/08/25,23.988
2012/08/26,23.898
2012/08/27,23.801
2012/08/28,23.706
2012/08/29,23.607
2012/08/30,23.494
2012/08/31,23.386
2012/09/01,23.275
2012/09/02,23.162
2012/09/03,23.056
2012/09/04,22.953
2012/09/05,22.841
2012/09/06,22.727
2012/09/07,22.611
2012/09/08,22.498
2012/09/09,22.389
2012/09/10,22.279
2012/09/11,22.159
2012/09/12,22.036
2012/09/13,21.909
2012/09/14,21.777
2012/09/15,21.645
2012/09/16,21.512
2012/09/17,21.379
2012/09/18,21.251
2012/09/19,21.111
2012/09/20,20.977
2012/09/21,20.873
2012/09/22,20.767
2012/09/23,20.66
2012/09/24,20.56
2012/09/25,20.462
2012/09/26,20.369
2012/09/27,20.281
2012/09/28,20.199
2012/09/29,20.123
2012/09/30,20.051
2012/10/01,19.982
2012/10/02,19.919
2012/10/03,19.86
2012/10/04,19.807
2012/10/05,19.76
2012/10/06,19.713
2012/10/07,19.669
2012/10/08,19.617
2012/10/09,19.571
2012/10/10,19.533
2012/10/11,19.499
2012/10/12,19.465
2012/10/13,19.431
2012/10/14,19.399
2012/10/15,19.37
2012/10/16,19.351
2012/10/17,19.332
2012/10/18,19.312
2012/10/19,19.295
2012/10/20,19.279
2012/10/21,19.281
2012/10/22,19.302
2012/10/23,19.317
2012/10/24,19.331
2012/10/25,19.341
2012/10/26,19.351
2012/10/27,19.36
2012/10/28,19.365
2012/10/29,19.368
2012/10/30,19.393
2012/10/31,19.407
2012/11/01,19.421
2012/11/02,19.428
2012/11/03,19.439
2012/11/04,19.451
2012/11/05,19.459
2012/11/06,19.468
2012/11/07,19.472
2012/11/08,19.473
2012/11/09,19.474
2012/11/10,19.474
2012/11/11,19.477
2012/11/12,19.476
2012/11/13,19.474
2012/11/14,19.472
2012/11/15,19.473
2012/11/16,19.478
2012/11/17,19.491
2012/11/18,19.504
2012/11/19,19.517
2012/11/20,19.532
2012/11/21,19.554
2012/11/22,19.577
2012/11/23,19.599
2012/11/24,19.613
2012/11/25,19.627
2012/11/26,19.621
2012/11/27,19.64
2012/11/28,19.663
2012/11/29,19.685
2012/11/30,19.709
2012/12/01,19.731
2012/12/02,19.751
2012/12/03,19.775
2012/12/04,19.791
2012/12/05,19.803
2012/12/06,19.814
2012/12/07,19.824
2012/12/08,19.834
2012/12/09,19.837
2012/12/10,19.842
2012/12/11,19.843
2012/12/12,19.843
2012/12/13,19.83
2012/12/14,19.813
2012/12/15,19.798
2012/12/16,19.782
2012/12/17,19.768
2012/12/18,19.748
2012/12/19,19.735
2012/12/20,19.72
2012/12/21,19.699
2012/12/22,19.68
2012/12/23,19.662
2012/12/24,19.642
2012/12/25,19.623
2012/12/26,19.609
2012/12/27,19.597
2012/12/28,19.588
